"Gouverneur","Relation","Dépendant","Fq Relation","Longueur","Fq Post","Fq Ante"
"VERB","DISLOCATED","X","15","10.60","0","15"
"ADJ","DISLOCATED","X","4","7.00","0","4"
"VERB","DISLOCATED","PROPN","4","9.50","0","4"
"VERB","DISLOCATED","NOUN","4","6.00","0","4"
"PRON","DISLOCATED","X","4","7.50","0","4"
"PRON","DISLOCATED","NOUN","3","3.00","3","0"
"NOUN","DISLOCATED","X","3","6.00","0","3"
"NOUN","DISLOCATED","PROPN","2","5.50","0","2"
"VERB","DISLOCATED","PRON","2","2.50","0","2"
"PRON","DISLOCATED","SYM","2","3.00","0","2"
"NOUN","DISLOCATED","INTJ","1","12.00","0","1"
"NOUN","DISLOCATED","PRON","1","6.00","0","1"
"ADJ","DISLOCATED","PRON","1","2.00","0","1"
"NOUN","DISLOCATED","NOUN","1","7.00","0","1"
"ADV","DISLOCATED","PRON","1","1.00","0","1"
"NOUN","DISLOCATED","ADJ","1","3.00","0","1"
"PRON","DISLOCATED","PROPN","1","1.00","1","0"
"NOUN","DISLOCATED","SYM","1","3.00","0","1"
"NUM","DISLOCATED","ADJ","1","2.00","0","1"
"X","DISLOCATED","NOUN","1","3.00","0","1"
"INTJ","DISLOCATED","X","1","5.00","0","1"
