"SR","Fq","Lg","Concordance","Ventilation","Carte"
"VERB_DISLOCATED X_NMOD","8","2","","",""
"VERB_DISLOCATED X_FLAT_NAME","5","2","","",""
"VERB_DISLOCATED X_NMOD VERB_NSUBJ","4","3","","",""
"VERB_DISLOCATED X_FLAT_NAME X_PUNCT","3","3","","",""
"VERB_DISLOCATED X_FLAT_NAME X_PUNCT VERB_NSUBJ","3","4","","",""
"VERB_DISLOCATED X_NMOD X_PUNCT","2","3","","",""
"NOUN_DISLOCATED PROPN_NMOD","2","2","","",""
"VERB_DISLOCATED PROPN_NMOD","2","2","","",""
"VERB_DISLOCATED PROPN_NMOD VERB_NSUBJ","2","3","","",""
"VERB_DISLOCATED PROPN_NMOD VERB_NSUBJ VERB_ADVMOD","2","4","","",""
"VERB_DISLOCATED PROPN_NMOD VERB_NSUBJ VERB_ADVMOD _ROOT","2","5","","",""
"VERB_DISLOCATED PROPN_NMOD VERB_NSUBJ VERB_ADVMOD _ROOT VERB_ADVMOD","2","6","","",""
"VERB_DISLOCATED VERB_NSUBJ","2","2","","",""
"NOUN_DET VERB_DISLOCATED","2","2","","",""
"VERB_DISLOCATED X_FLAT_NAME X_PUNCT VERB_NSUBJ _ROOT","2","5","","",""
"NOUN_DET PRON_DISLOCATED NOUN_AMOD PRON_PUNCT","2","4","","",""
"NOUN_DET PRON_DISLOCATED","2","2","","",""
"NOUN_DET PRON_DISLOCATED NOUN_AMOD","2","3","","",""
"PRON_DISLOCATED NOUN_AMOD PRON_PUNCT","2","3","","",""
"PRON_DISLOCATED NOUN_AMOD","2","2","","",""
"NOUN_DISCOURSE NOUN_DISLOCATED","2","2","","",""
"VERB_DISLOCATED X_NMOD VERB_NSUBJ _ROOT","2","4","","",""
"NOUN_DISLOCATED NOUN_NSUBJ","2","2","","",""
"NOUN_DISLOCATED NOUN_NSUBJ NOUN_COP","2","3","","",""
"ADJ_DISLOCATED X_APPOS","2","2","","",""
